prenom,genre,signification,origine
KAILEE,f,Variant of KAYLEE.,[English (Modern)]
KAILYN,f,Variant of KAYLYN.,[English (Modern)]
KAIN,m,Form of CAIN used in the Greek Old Testament.,[Biblical Greek]
KAIPO,m,"Means ""the sweetheart"" from Hawaiian ka, a definite article, and ipo ""sweetheart"".",[Hawaiian]
KAISER,m,form of the Roman title Caesar (see CAESAR). It is not used as a given name in Germany itself.,[Various]
KAITLYN,f,Variant of CAITLIN.,[English (Modern)]
KAITO,m,"From Japanese 海 (kai) meaning ""sea, ocean"" combined with 斗 (to), which refers to a Chinese constellation, or 翔 (to) meaning ""soar, fly"". Other kanji combinations are also possible.",[Japanese]
KAJ  (2), (2),Variant of KAJA  (1).,[Swedish (Rare)]
KAJA  (1), (1),"KAJA  (1)   f   Norwegian, Danish, Swedish, Estonian, SloveneScandinavian diminutive of KATARINA.","[Norwegian, Danish, Swedish, Estonian, Slovene]"
KAJA  (3), (3),"Means ""echo"" in Estonian.",[Estonian]
KAJETÁN,m,form of Caietanus (see GAETANO).,"[Czech (Rare), Slovak (Rare), Hungarian (Rare)]"
KAJSA,f,KAJSA   f   SwedishSwedish diminutive of KATARINA.,[Swedish]
KAKALINA,f,form of KATHERINE.,[Hawaiian]
KALA  (2), (2),form of SARAH.,[Hawaiian]
KALE,m,form of CHARLES.,[Hawaiian]
KALEB,m,variant of CALEB.,[English (Modern)]
KALENA,f,form of KAREN  (1).,[Hawaiian]
KALEV  (1), (1),form of KALEVA. This was the name of a hero in Estonian mythology.,[Estonian]
KALEVA,m,"From the name of the mythological ancestor of the Finns, which is of unknown meaning. The name of the Finnish epic the 'Kalevala' means ""the land of Kalevi"".",[Finnish]
KALEY,f,Variant of KAYLEE.,[English (Modern)]
KALIDAS,m,form of KALIDASA.,"[Indian, Hindi]"
KALIE,f,Variant of KAYLEE.,[English (Modern)]
KALINA,f,"Means ""viburnum tree"" in Bulgarian, Macedonian and Polish.","[Bulgarian, Macedonian, Polish]"
KALJU,m,"Means ""rock, boulder"" in Estonian.",[Estonian]
KALLE,m,"KALLE   m   Swedish, FinnishSwedish and Finnish diminutive of KARL.","[Swedish, Finnish]"
KALLIE,f,Variant of CALLIE.,[English]
KALLIOPE,f,"Means ""beautiful voice"" from Greek καλλος (kallos) ""beauty"" and οψ (ops) ""voice"". In Greek mythology she was a goddess of epic poetry and eloquence, one of the nine Muses.",[Greek Mythology]
KALLISTOS,m,form of CALLISTUS.,[Ancient Greek]
KÁLMÁN,m,"KÁLMÁN   m   HungarianProbably of Turkic origin, meaning ""remainder"". This was the name of a 12th-century king of Hungary. It was also borne in the 13th-century by the first king of Galicia-Volhynia, who was also a member of the Hungarian Árpád royal family. This name has been frequently confused with Koloman.",[Hungarian]
KALPANA,f,"Means ""imagining, fantasy"" in Sanskrit.","[Indian, Hindi, Marathi, Tamil, Kannada, Telugu, Nepali]"
KALYANA,m,Variant of KALYAN.,"[Indian, Telugu]"
KALYN,f,Variant of KAYLYN.,[English (Modern)]
KALYPSO,f,form of CALYPSO.,[Greek Mythology]
KAM,m,Short form of KAMERON.,[English (Modern)]
KAMAKSHI,f,"From Sanskrit काम (kama) meaning ""love, desire"" and अक्षि (akshi) meaning ""eye"". This is the name of a Hindu fertility goddess. She is considered to be an incarnation of Parvati.","[Hinduism, Indian, Hindi]"
KAMAL  (2), (2),masculine form of KAMALA.,"[Indian, Hindi, Marathi, Bengali, Gujarati, Punjabi, Tamil, Telugu, Kannada, Malayalam, Nepali]"
KAMALANI,f,"Means ""heavenly child"" or ""royal child"" from Hawaiian kama ""child"" and lani ""heaven, sky, royal, majesty"".",[Hawaiian]
KAMATCHI,f,form of KAMAKSHI.,[Tamil]
KAMBUJIYA,m,form of CAMBYSES.,[Ancient Persian]
KAMERON,m,Variant of CAMERON.,[English (Modern)]
KAMIL  (2), (2),form of CAMILLUS.,"[Czech, Slovak, Polish]"
KAMILĖ,f,form of CAMILLA.,[Lithuanian]
KAMINI,f,"Means ""desirable"" in Sanskrit.","[Indian, Hindi]"
KAMRYN,f,variant of CAMERON.,[English (Modern)]
KANCHANA,f,"Means ""golden"" in Sanskrit.",[Tamil]
KANDACE,f,Variant of CANDACE.,[English (Modern)]
KANDAKE,f,form of CANDACE.,"[Biblical, Biblical Greek]"
KANE,m,Anglicized form of CATHÁN.,[Irish]
KANNAN,m,form of KRISHNA.,[Tamil]
KANTA,f,"Means ""desired, beautiful"" in Sanskrit. This is a transcription of both the feminine form कान्ता and the masculine form कान्त.","[Indian, Hindi, Bengali]"
KANYA,f,"Means ""young woman"" in Thai.",[Thai]
KAORI,f,"From Japanese 香 (kaori) meaning ""fragrance"". It can also come from an alternate reading of 香 (ka) combined with 織 (ori) meaning ""weaving"". Other kanji combinations are possible. It is often written かおり using the hiragana writing system.",[Japanese]
KAPEL,m,KAPEL   m   YiddishYiddish diminutive of JACOB.,[Yiddish]
KAPIL,m,form of KAPILA.,"[Indian, Hindi, Marathi]"
KAPONO,m,"Means ""the good one"" from Hawaiian ka, a definite article, and pono ""good, moral"".",[Hawaiian]
KARA  (1), (1),Variant of CARA.,[English]
KARAM,m,"Means ""generosity"" in Arabic.",[Arabic]
KARAUGH,f,Variant of KARA  (1).,[English (Rare)]
KÅRE,m,"From the Old Norse name Kári meaning ""curly, curved"".","[Norwegian, Swedish, Danish]"
KAREKIN,m,KAREKIN   m   ArmenianWestern Armenian transcription of GAREGIN.,[Armenian]
KAREN  (1), (1),short form of KATHERINE. It became common in the English-speaking world after the 1930s.,"[Danish, Norwegian, Icelandic, German, English]"
KARENA,f,"KARENA   f   English (Rare)Elaboration of KAREN  (1), possibly influenced by CARINA  (1).",[English (Rare)]
KARESINDA,f,"Means ""worthy of a caress"" in Esperanto.",[Esperanto]
KARI  (1), (1),short form of KATARINA.,[Norwegian]
KARIM,m,"Means ""generous, noble"" in Arabic. In Islamic tradition الكريم (al-Karim) is one of the 99 names of Allah.","[Arabic, Persian]"
KARIN,f,short form of KATHERINE.,"[Swedish, Norwegian, Danish, German, Dutch, Finnish, English]"
KARINE  (1), (1),"form of CARINA  (1). It can also function as a short form of CATHERINE, via Swedish Karin.",[French]
KARISHMA,f,"Means ""miracle"" in Hindi.","[Indian, Hindi]"
KARITA,f,Variant of CARITA.,[Swedish]
KARLA,f,feminine form of CHARLES.,"[German, Swedish, Norwegian, Danish, Croatian]"
KARLENE,f,Variant of CARLENE.,[English]
KARLO,m,form of CHARLES.,[Croatian]
KARMA,m,"From the Sanskrit word कर्म (karma) meaning ""action, deed, fate"".",[Bhutanese]
KARMELA,f,form of CARMELA.,[Croatian]
KARNA,m,"Derived from Sanskrit कर्ण (karna) meaning ""ear"". This is the name of the son of the Hindu sun god Surya and the goddess Kunti, who gave birth to him through her ear. He was a great warrior who joined the Kauravas to fight against his half-brothers the Pandavas, eventually becoming the king of Anga.",[Hinduism]
KAROLA,f,feminine form of CAROLUS.,"[Hungarian, German]"
KAROLÍNA,f,feminine form of CAROLUS.,[Czech]
KAROLINE,f,Feminine form of CAROLUS.,"[German, Danish, Norwegian]"
KÁROLY,m,form of KARL.,[Hungarian]
KARP,m,form of Karpos (see CARPUS).,[Russian]
KARRIE,f,Variant of CARRIE.,[English]
KARTHIK,m,form of KARTIK.,"[Tamil, Indian, Telugu, Malayalam]"
KARTHIKEYAN,m,form of KARTIKEYA.,"[Tamil, Hinduism]"
KARTIKEYA,m,"From Sanskrit कृत्तिका (krittika), the name for the constellation of the Pleiades, ultimately from कृत् (krit) meaning ""to cut, to divide"". This is another name for the Hindu god Skanda.",[Hinduism]
KARYNA,f,Variant of CARINA  (1).,[English (Rare)]
KASEY,m,Variant of CASEY.,[English]
KASI,f,form of KASHI.,"[Indian, Telugu, Tamil]"
KASIH,f,"Means ""love"" in Malay and Indonesian.","[Indonesian, Malay]"
KASIMIR,m,form of CASIMIR.,[German (Rare)]
KASPAR,m,form of JASPER.,[German]
KASPARS,m,form of JASPER.,[Latvian]
KASSANDRA,f,"form of CASSANDRA, as well as a modern English variant.","[Greek Mythology, Ancient Greek, English (Modern)]"
KASSIA,f,Variant of CASSIA.,[English (Rare)]
KASSIOPEIA,f,form of CASSIOPEIA.,[Greek Mythology]
KASTOR,m,form of CASTOR.,[Greek Mythology]
KAT,f,KAT   f   EnglishDiminutive of KATHERINE.,[English]
KATALIN,f,form of KATHERINE.,"[Hungarian, Basque]"
KATAR,f,"Means ""summit, crest"" in Armenian.",[Armenian]
KATARIN,f,form of KATHERINE.,[Breton]
KATARINA,f,"KATARINA   f   Swedish, Norwegian, Danish, German, Croatian, Serbian, SloveneCognate of KATHERINE.","[Swedish, Norwegian, Danish, German, Croatian, Serbian, Slovene]"
KATARZYNA,f,form of KATHERINE.,[Polish]
KATAYUN,f,"from the Persian elements kata ""house, city"" (but also ""king, lord"") and bânu ""wife"".",[Persian]
KATEE,f,KATEE   f   English (Rare)Diminutive of KATE.,[English (Rare)]
KATELIJNE,f,"form of KATHERINE, used especially in Flanders.",[Dutch]
KATELL,f,form of KATHERINE.,[Breton]
JUNKO,f,"From Japanese 順 (jun) meaning ""obedience"" or 純 (jun) meaning ""pure"" combined with 子 (ko) meaning ""child"". Other combinations of kanji characters are also possible.",[Japanese]
JUN-SEO,m,"From Sino-Korean 俊 (jun) meaning ""talented, handsome"" combined with 舒 (seo) meaning ""open up, unfold, comfortable, easy"" or 瑞 (seo) meaning ""felicitous omen, auspicious"". This name can be formed by other hanja character combinations as well.",[Korean]
JUOZAS,m,short form of JOSEPH.,[Lithuanian]
JURAJ,m,form of GEORGE.,"[Croatian, Slovak]"
JUREK,m,JUREK   m   PolishDiminutive of JERZY.,[Polish]
JURGEN,m,form of GEORGE.,[Dutch]
JURIAN,m,form of GEORGE.,[Medieval Low German]
JURIJ,m,form of GEORGE.,"[Slovene, Sorbian]"
JURO  (1), (1),form of GEORGE.,[Croatian]
JUROU,m,"From Japanese 十 (ju) meaning ""ten"" and 郎 (rou) meaning ""son"". Traditionally this name was given to the tenth son. Other combinations of kanji characters are possible as well.",[Japanese]
JURRIAAN,m,form of GEORGE.,[Dutch]
JUSSI,m,form of JOHN.,[Finnish]
JUSTICE,m,"From an occupational surname which meant ""judge, officer of justice"" in Old French. This name can also be given in direct reference to the English word justice.",[English]
JUSTÍNA,f,feminine form of Iustinus (see JUSTIN).,[Slovak]
JUSTINAS,m,form of JUSTIN.,[Lithuanian]
JUSTINIAN,m,"From the Latin name Iustinianus, which was derived from Iustinus (see JUSTIN). This was the name of a 6th-century Byzantine emperor who attempted to restore the borders of the Roman Empire.",[History]
JUSTY,m,JUSTY   m & f   EnglishDiminutive of JUSTIN or JUSTINE.,[English]
JUSTÝNA,f,feminine form of Iustinus (see JUSTIN).,[Czech]
JUTTA,f,form of JUDITH. It might also derive from a Germanic name such as JUDDA.,[German]
JUUSO,m,short form of JOSEPH.,[Finnish]
JUVENAL,m,"From the Roman cognomen Iuvenalis which meant ""youthful"" in Latin. Juvenal was a Roman satirist of the 1st century.","[History, Portuguese]"
JU-WON,m,"From Sino-Korean 周 (ju) meaning ""circumference"" combined with 元 (won) meaning ""first, origin"" or 媛 (won) meaning ""beautiful woman"". Other hanja character combinations are possible.",[Korean]
JYOTI,f,"Derived from Sanskrit ज्योतिस् (jyotis) meaning ""light"". This is a transcription of both the feminine form ज्योती and the masculine form ज्योति.","[Indian, Hindi, Marathi, Bengali, Assamese, Nepali]"
JYOTSNA,f,"Means ""moonlight"" in Sanskrit.","[Indian, Hindi]"
JYRI,m,form of YURIY.,[Finnish]
JYTTE,f,form of JUTTA.,[Danish]
KAAPO,m,form of GABRIEL.,[Finnish]
KAARINA,f,form of KATHERINE.,[Finnish]
KAARLO,m,form of CHARLES.,[Finnish]
KACIE,f,Variant of CASEY.,[English (Modern)]
KADE,m,Variant of CADE.,[English (Modern)]
KADEN,m,Variant of CADEN.,[English (Modern)]
KADER  (2), (2),"Means ""fate, destiny"" in Turkish.",[Turkish]
KADMOS,m,form of CADMUS.,[Greek Mythology]
KADRİ,m,"Means ""value"" in Turkish.",[Turkish]
KAE,f,Variant of KAY  (1).,[English (Rare)]
KAEDEN,m,Variant of CADEN.,[English (Modern)]
KAELEE,f,Variant of KAYLEE.,[English (Rare)]
KAETY,f,KAETY   f   English (Rare)Diminutive of KATE.,[English (Rare)]
KAGISO,m,"Means ""peace"" in Tswana.","[Southern African, Tswana]"
KAHURANGI,f,"From the name of a type of green gemstone found in New Zealand, meaning ""sky blue"" in Maori.",[Maori]
KAI  (2), (2),Variant of KAJA  (1).,[Swedish]
KAIA,f,"KAIA   f   Norwegian, EstonianDiminutive of KATARINA or KATARIINA.","[Norwegian, Estonian]"
KAIJA,f,KAIJA   f   FinnishDiminutive of KATARIINA.,[Finnish]
KAILASH,m,"From the name of a mountain in the Himalayas which is believed to be the paradise of the Hindu god Shiva. It possibly means ""crystal"" in Sanskrit.","[Indian, Hindi, Marathi]"
KAILEY,f,Variant of KAYLEE.,[English (Modern)]
KAIMANA,m,"From Hawaiian kai ""ocean, sea"" and mana ""power"". It is also Hawaiian meaning ""diamond"", derived from the English word diamond.",[Hawaiian]
KAINAN,m,Form of CAINAN used in the Greek Old Testament.,[Biblical Greek]
KAISA,f,"KAISA   f   Finnish, EstonianFinnish and Estonian diminutive of KATHERINE.","[Finnish, Estonian]"
KAITLIN,f,Variant of CAITLIN.,[English (Modern)]
KAITLYNN,f,Variant of CAITLIN.,[English (Modern)]
KAJ  (1), (1),Variant of KAI  (1).,"[Swedish, Danish, Norwegian]"
KÁJA,f,KÁJA   f   CzechDiminutive of KAROLÍNA.,[Czech]
KAJA  (2), (2),Variant of GAJA  (1).,"[Polish, Slovene]"
KAJAL,f,"Means ""kohl, collyrium, lotion for the eyes"" in Sanskrit.","[Indian, Hindi, Marathi]"
KAJETAN,m,form of Caietanus (see GAETANO).,[Polish]
KAJUS,m,form of GAIUS.,[Lithuanian]
KALA  (1), (1),"Means ""art form, virtue"" in Sanskrit.",[Tamil]
KALANI,m,"Means ""the heavens"" from Hawaiian ka ""the"" and lani ""heaven, sky, royal, majesty"".",[Hawaiian]
KALEA,f,"Means ""joy, happiness"" in Hawaiian.",[Hawaiian]
KALEIGH,f,Variant of KAYLEIGH.,[English (Modern)]
KALEO,m,"Means ""sound, voice"" from Hawaiian ka ""the"" and leo ""sound, voice"".",[Hawaiian]
KALEV  (2), (2),form of CALEB.,[Biblical Hebrew]
KALEVI,m,Variant of KALEVA.,[Finnish]
KALI,f,"Means ""the black one"" in Sanskrit. The Hindu goddess Kali is the fierce destructive form of the wife of Shiva. She is usually depicted with black skin and four arms, holding a severed head and brandishing a sword. As a personal name, it is generally masculine in India.","[Hinduism, Bengali, Tamil]"
KALIDASA,m,"Means ""servant of Kali"" from the name of the Hindu goddess KALI combined with Sanskrit दास (dasa) meaning ""servant"". This was the name of a 4th-century Indian poet and dramatist, the author of the 'Abhijnanashakuntalam'.",[Sanskrit]
KALIN,m,Masculine form of KALINA.,[Bulgarian]
KALISHA,f,KALISHA   f   African American (Rare)Combination of the popular name prefix Ka and LISHA.,[African American (Rare)]
KALLA,f,Variant of CALLA.,[English (Rare)]
KALLIAS,m,"Derived from Greek καλλος (kallos) meaning ""beauty"". This was the name of an Athenian who fought at Marathon who later became an ambassador to the Persians.",[Ancient Greek]
KALLIKRATES,m,"Means ""beautiful power"", derived from the Greek elements καλλος (kallos) ""beauty"" and κρατος (kratos) ""power"".",[Ancient Greek]
KALLISTO,f,"Derived from Greek καλλιστος (kallistos) meaning ""most beautiful"", a derivative of καλος (kalos) ""beautiful"". In Greek mythology Kallisto was a nymph who was loved by Zeus. She was changed into a she-bear by Hera, and subsequently became the Great Bear constellation. This was also an ancient Greek personal name.","[Greek Mythology, Ancient Greek]"
KALLISTRATE,f,"Means ""beautiful army"" from the Greek elements καλλος (kallos) ""beauty"" and στρατος (stratos) ""army"".",[Ancient Greek]
KALOYAN,m,"From Greek καλος Ιωαννης (kalos Ioannes) meaning ""handsome JOHN"", the nickname of a 13th-century emperor of Bulgaria. He successfully defended the empire from the Fourth Crusade.",[Bulgarian]
KALYAN,m,"Means ""beautiful, lovely, auspicious"" in Sanskrit.","[Indian, Hindi, Bengali, Telugu]"
KALYANI,f,"Means ""beautiful, lovely, auspicious"" in Sanskrit. In the Hindu epic the 'Mahabharata' this is the name of one of the Krittikas, or Pleiades. It is also another name of the Hindu goddess Parvati.","[Hinduism, Indian, Telugu, Marathi, Hindi]"
KALYNA,f,"From the Ukrainian word for a type of shrub, also called the guelder rose.",[Ukrainian (Rare)]
KALYSTA,f,Variant of CALISTA.,[English (Rare)]
KAMA,m,"Means ""love, desire"" in Sanskrit. Kama is the winged Hindu god of love, the son of Lakshmi.",[Hinduism]
KAMAL  (1), (1),"Means ""perfection"" in Arabic.",[Arabic]
KAMALA,f,"Means ""lotus"" or ""pale red"" in Sanskrit. This is a transcription of both the feminine form कमला and the masculine form कमल. This is the name of one of the Krittikas, or Pleiades, in Hindu epic the 'Mahabharata'. It is also another name of the Hindu goddess Lakshmi.","[Hinduism, Tamil, Indian, Kannada, Telugu, Hindi, Nepali]"
KAMARIA,f,"KAMARIA   f   Eastern African, SwahiliSwahili name, likely related to QAMAR.","[Eastern African, Swahili]"
KAMBIZ,m,form of CAMBYSES.,[Persian]
KAMEN,m,"Means ""stone"" in Bulgarian. This is a translation of the Greek name Petros.",[Bulgarian]
